date,depth,mag,place,latitude,longitude,depth_avg_22,depth_avg_15,depth_avg_7,mag_avg_22,mag_avg_15,mag_avg_7,mag_outcome
2024-04-11,99.415,4.3,Japan,35.88522666666667,138.30105999999998,61.92972727272727,65.7448,80.27157142857142,4.736363636363636,4.8133333333333335,4.514285714285714,
2024-04-12,55.721,4.9,Japan,35.88522666666667,138.30105999999998,62.408772727272726,64.57446666666667,78.30757142857144,4.754545454545455,4.746666666666667,4.585714285714286,
2024-04-12,23.161,4.7,Japan,35.88522666666667,138.30105999999998,61.26413636363636,65.45186666666667,76.17542857142857,4.7318181818181815,4.753333333333333,4.642857142857143,
2024-04-14,3.9556,1.8,Texas,31.387755113636363,-102.70727045454545,5.20685,5.10396,4.8326714285714285,1.9454545454545453,1.9,1.9142857142857144,
2024-04-14,1.4087,2.1,Texas,31.387755113636363,-102.70727045454545,5.087777272727273,4.823526666666666,4.0160285714285715,1.9363636363636365,1.9333333333333333,1.9142857142857144,
2024-04-14,3.9307,2.9,Texas,31.387755113636363,-102.70727045454545,4.946068181818182,4.525106666666667,4.262785714285714,1.9727272727272727,2.0133333333333336,1.9428571428571428,
2024-04-14,3.7207,1.8,Texas,31.387755113636363,-102.70727045454545,5.003386363636364,4.502586666666667,3.835185714285714,1.9863636363636366,2.0066666666666664,1.9571428571428573,
2024-04-15,4.4153,1.7,Texas,31.387755113636363,-102.70727045454545,4.8867,4.32168,3.877814285714286,1.9590909090909092,1.9733333333333334,1.957142857142857,
2024-04-15,3.9795,1.7,Texas,31.387755113636363,-102.70727045454545,4.802554545454545,4.31178,3.8051142857142857,1.9681818181818185,1.98,1.9428571428571428,
2024-04-15,6.4542,1.6,Texas,31.387755113636363,-102.70727045454545,4.844018181818182,4.4149666666666665,3.9806714285714286,1.9136363636363638,1.9866666666666668,1.942857142857143,
2024-04-07,11.404,5.1,Papua New Guinea,-4.926783870967742,146.8382741935484,107.05136363636365,94.77240000000002,116.61171428571427,4.654545454545455,4.6066666666666665,4.642857142857143,
2024-04-10,33.542,4.7,Papua New Guinea,-4.926783870967742,146.8382741935484,105.40527272727273,96.21340000000001,119.97485714285713,4.636363636363637,4.633333333333334,4.685714285714285,
2024-04-11,32.765,4.7,Papua New Guinea,-4.926783870967742,146.8382741935484,103.29886363636363,97.73106666666666,72.18428571428572,4.640909090909091,4.640000000000001,4.785714285714286,
2024-04-12,10.0,4.7,Papua New Guinea,-4.926783870967742,146.8382741935484,103.29886363636363,93.89593333333332,58.04185714285715,4.631818181818182,4.66,4.814285714285715,
2024-04-14,49.0,6.5,Papua New Guinea,-4.926783870967742,146.8382741935484,102.71013636363637,96.49593333333333,36.705,4.704545454545454,4.8,5.142857142857143,
2024-04-15,51.85,5.4,Papua New Guinea,-4.926783870967742,146.8382741935484,101.63981818181819,95.17886666666666,34.95485714285714,4.763636363636365,4.819999999999999,5.185714285714285,
2024-04-15,10.0,4.5,Papua New Guinea,-4.926783870967742,146.8382741935484,99.34949999999999,84.94080000000001,28.365857142857145,4.781818181818182,4.78,5.085714285714286,
2024-04-07,-0.54,1.81,Canada,49.98556543209876,-114.39165925925926,7.778636363636363,5.388066666666666,11.00157142857143,1.780909090909091,1.8506666666666667,2.2471428571428573,
2024-04-08,-0.46,1.97,Canada,49.98556543209876,-114.39165925925926,7.78090909090909,5.414733333333333,9.48442857142857,1.7768181818181816,1.8966666666666667,2.1614285714285715,
2024-04-10,18.73,1.5,Canada,49.98556543209876,-114.39165925925926,7.676818181818183,6.688066666666667,5.060142857142856,1.793181818181818,1.8946666666666665,2.0185714285714282,
2024-04-10,-0.66,1.27,Canada,49.98556543209876,-114.39165925925926,6.785954545454547,6.1294,5.018714285714284,1.7827272727272727,1.9386666666666665,1.9000000000000001,
2024-04-12,-0.37,2.0,Canada,49.98556543209876,-114.39165925925926,4.385954545454546,6.168066666666666,5.018714285714284,1.8104545454545453,1.946,1.907142857142857,
2024-04-13,8.127,4.1,Canada,49.98556543209876,-114.39165925925926,4.778545454545455,6.731866666666667,4.751142857142857,1.908181818181818,2.119333333333333,2.0214285714285714,
2024-04-10,7.92,5.2,Philippines,9.562894285714286,124.99906857142858,61.00077272727273,65.804,79.421,4.618181818181818,4.6066666666666665,4.6571428571428575,
2024-04-11,10.0,5.2,Philippines,9.562894285714286,124.99906857142858,56.666909090909094,64.81626666666666,72.05757142857144,4.659090909090909,4.64,4.714285714285714,
2024-04-11,47.233,5.0,Philippines,9.562894285714286,124.99906857142858,56.49345454545455,67.29706666666667,68.54285714285714,4.65,4.7,4.757142857142857,
2024-04-12,10.0,4.6,Philippines,9.562894285714286,124.99906857142858,52.92018181818182,63.849333333333334,54.462428571428575,4.654545454545455,4.720000000000001,4.785714285714286,
